,City,Lat,Long,Temp,Humidity,Cloudiness,Wind
1,Mataura,-46.1927,168.8643,50.88,84,100,13.42
2,Ushuaia,-54.8,-68.3,77.0,27,0,18.41
7,Port-Gentil,-0.7193,8.7815,82.4,89,40,4.61
8,Quelimane,-17.8786,36.8883,77.0,78,40,2.3
14,Bengkulu,-3.8004,102.2655,73.71,88,69,4.88
16,Maragogi,-9.0122,-35.2225,79.52,82,42,11.81
18,Cape Town,-33.9258,18.4232,68.56,83,0,16.11
20,Airai,-8.9266,125.4092,65.66,95,85,1.12
22,Puerto Ayora,-0.7393,-90.3518,78.3,83,75,5.75
27,Brits,-25.6347,27.7802,68.45,88,55,2.3
28,Ushuaia,-54.8,-68.3,77.0,27,0,18.41
29,Punta Arenas,-53.15,-70.9167,62.29,63,0,11.5
30,Punta Arenas,-53.15,-70.9167,62.29,63,0,11.5
32,Bredasdorp,-34.5322,20.0403,68.0,83,39,4.61
34,Atuona,-9.8,-139.0333,79.12,78,1,17.13
36,Bredasdorp,-34.5322,20.0403,68.0,83,39,4.61
37,Vaini,-21.2,-175.2,82.4,89,75,9.22
39,Bredasdorp,-34.5322,20.0403,68.0,83,39,4.61
40,Hobart,-42.8794,147.3294,64.76,59,0,11.5
43,Vaini,-21.2,-175.2,82.4,89,75,9.22
44,Bredasdorp,-34.5322,20.0403,68.0,83,39,4.61
46,Hermanus,-34.4187,19.2345,68.0,83,2,1.99
48,Maragogi,-9.0122,-35.2225,79.52,82,42,11.81
49,Saint-Philippe,-21.3585,55.7679,73.54,73,20,2.3
51,Imbituba,-28.24,-48.6703,77.0,73,40,4.61
56,Mataura,-46.1927,168.8643,50.88,84,100,13.42
57,Rikitea,-23.1203,-134.9692,78.67,77,18,14.83
58,Waingapu,-9.6567,120.2641,78.85,78,100,4.74
63,Cape Town,-33.9258,18.4232,68.56,83,0,16.11
66,Puerto Ayora,-0.7393,-90.3518,78.3,83,75,5.75
67,New Norfolk,-42.7826,147.0587,64.63,46,15,4.0
69,Rikitea,-23.1203,-134.9692,78.67,77,18,14.83
70,Rikitea,-23.1203,-134.9692,78.67,77,18,14.83
71,Punta Arenas,-53.15,-70.9167,62.29,63,0,11.5
72,La Santisima Trinidad,-14.8333,-64.9,73.4,100,90,3.44
73,Hobart,-42.8794,147.3294,64.76,59,0,11.5
74,Menongue,-14.6585,17.691,62.67,80,100,2.24
75,Rikitea,-23.1203,-134.9692,78.67,77,18,14.83
79,Kruisfontein,-34.0033,24.7314,70.0,91,55,0.65
82,Rocha,-34.4833,-54.3333,67.96,87,74,7.49
83,Busselton,-33.65,115.3333,55.62,98,24,7.11
85,Hobart,-42.8794,147.3294,64.76,59,0,11.5
93,Carnarvon,-24.8667,113.6333,69.8,88,0,18.41
94,Hermanus,-34.4187,19.2345,68.0,83,2,1.99
98,Rikitea,-23.1203,-134.9692,78.67,77,18,14.83
102,Avarua,-21.2078,-159.775,86.0,66,100,9.22
103,Kaitangata,-46.2817,169.8464,57.0,59,95,15.99
104,Tautira,-17.7333,-149.15,75.09,78,75,11.5
105,Paita,-5.0892,-81.1144,80.6,65,40,11.5
106,Menongue,-14.6585,17.691,62.67,80,100,2.24
107,Busselton,-33.65,115.3333,55.62,98,24,7.11
