,City,Lat,Long,Temp,Humidity,Cloudiness,Wind
0,The Valley,18.217,-63.0578,79.63,69,40,17.27
2,Ponta Delgada,37.7333,-25.6667,61.41,77,75,20.71
3,Tiznit Province,29.5833,-9.5,59.43,55,0,5.12
5,Bethel,41.3712,-73.414,11.37,72,1,5.75
7,Laguna,38.421,-121.4238,40.75,87,1,2.13
8,Oyama,36.3,139.8,38.25,44,20,10.36
9,College,64.8569,-147.8028,-34.02,79,1,6.91
12,Tasiilaq,65.6145,-37.6368,23.0,54,93,13.8
14,Hong Kong,22.2855,114.1577,65.73,77,100,1.01
15,Nikolskoye,59.7035,30.7861,11.84,79,0,6.71
16,Sur,22.5667,59.5289,72.12,62,14,7.67
17,Dickinson,29.4608,-95.0513,56.98,88,40,12.66
19,Petukhovo,55.0692,67.9019,-4.04,90,100,13.22
20,Winslow,35.0242,-110.6974,21.2,49,1,4.61
21,Port Blair,11.6667,92.75,78.22,76,19,16.67
24,Aromashevo,56.8602,68.6375,-5.28,90,100,9.8
26,Kīhei,20.785,-156.4656,62.28,88,1,4.61
28,Korla,41.7597,86.1469,34.14,74,100,2.53
29,Kapaa,22.0752,-159.319,62.26,82,40,8.05
32,Norman Wells,65.282,-126.8329,-45.4,66,1,5.03
33,Tasiilaq,65.6145,-37.6368,23.0,54,93,13.8
34,Jamestown,42.097,-79.2353,9.23,92,90,3.44
35,Kamaishi,39.2667,141.8833,23.09,84,0,12.35
40,Lerwick,60.1545,-1.1494,33.8,47,20,14.97
44,Dikson,73.5069,80.5464,-29.54,85,90,18.21
45,Khani,41.9563,42.9566,68.0,40,0,11.5
49,Norman Wells,65.282,-126.8329,-45.4,66,1,5.03
50,Vila Franca do Campo,37.7167,-25.4333,61.43,77,75,20.71
51,Hilo,19.7297,-155.09,63.05,68,75,5.75
52,Tuktoyaktuk,69.4541,-133.0374,-28.48,86,100,7.87
53,Cwmbran,51.6545,-3.0228,33.69,76,100,22.95
58,Kapaa,22.0752,-159.319,62.26,82,40,8.05
60,Havøysund,70.9963,24.6622,22.15,86,90,31.07
61,Tiksi,71.6872,128.8694,-26.19,86,99,5.97
63,Shalakusha,62.2247,40.2539,9.59,94,100,8.39
64,Sisimiut,66.9395,-53.6735,19.45,80,0,14.83
65,Kapaa,22.0752,-159.319,62.26,82,40,8.05
66,Gornopravdinsk,60.05,69.9,-8.72,90,93,1.95
68,Norman Wells,65.282,-126.8329,-45.4,66,1,5.03
69,Yellowknife,62.456,-114.3525,-38.2,74,20,14.97
73,Jamestown,42.097,-79.2353,9.23,92,90,3.44
74,Phang Nga,8.4509,98.5298,82.4,74,20,5.75
76,Turtas,58.9417,69.1325,-7.49,90,85,3.76
78,Bethel,41.3712,-73.414,11.37,72,1,5.75
79,Koprivnica,46.1628,16.8275,38.5,62,100,1.99
82,Kapaa,22.0752,-159.319,62.26,82,40,8.05
83,Thompson,55.7435,-97.8558,-25.6,62,90,13.8
84,Hasaki,35.7333,140.8333,35.17,44,20,10.36
85,Camacha,33.0833,-16.3333,64.4,77,20,13.8
87,Kolyvan',55.3053,82.7391,35.6,87,90,20.13
88,Tuktoyaktuk,69.4541,-133.0374,-28.48,86,100,7.87
91,Seoul,37.5683,126.9778,25.97,42,0,13.8
92,Dikson,73.5069,80.5464,-29.54,85,90,18.21
